timestamp,Bazylea Temperature [2 m elevation corrected],Bazylea Sunshine Duration,Bazylea Shortwave Radiation,Bazylea Precipitation Total,Bazylea Snowfall Amount,Bazylea Relative Humidity [2 m],Bazylea Cloud Cover Total,Bazylea Cloud Cover High [high cld lay],Bazylea Cloud Cover Medium [mid cld lay],Bazylea Cloud Cover Low [low cld lay],Bazylea Mean Sea Level Pressure [MSL],Bazylea Wind Speed [10 m],Bazylea Wind Direction [10 m],Bazylea Wind Speed [80 m],Bazylea Wind Direction [80 m],Bazylea Wind Gust,Bazylea Wind Speed [900 mb],Bazylea Wind Direction [900 mb]
20211119T0200,4.4605284,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,1032.3,3.8268526,138.81407,5.3517847,137.72632,2.52,6.638072,77.47118
20211119T0300,4.1205287,0.0,0.0,0.0,0.0,86.0,0.90000004,3.0,0.0,0.0,1032.6,4.829907,116.56505,7.4128532,119.054596,3.96,7.2,89.99999
20211119T0400,3.5205286,0.0,0.0,0.0,0.0,87.0,1.5,5.0,0.0,0.0,1033.1,5.315336,118.30075,7.729527,117.75854,4.68,6.849467,86.98721
20211119T0500,3.0505285,0.0,0.0,0.0,0.0,89.0,0.90000004,3.0,0.0,0.0,1032.1,5.8603754,137.48955,10.703569,132.27368,7.5599995,9.422101,96.58194
20211119T0600,2.9105287,0.0,0.0,0.0,0.0,89.0,0.90000004,3.0,0.0,0.0,1033.1,5.2416787,105.9454,9.178235,115.55997,5.3999996,9.9571085,102.52881
20211119T0700,1.9405286,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1033.3,5.8048253,97.125015,10.495713,112.16634,7.2,9.007196,92.2906
20211119T0800,1.3305286,21.066668,1.78,0.0,0.0,91.0,0.0,0.0,0.0,0.0,1033.3,5.3517847,109.653824,12.413477,119.53878,5.3999996,10.495713,84.09385
20211119T0900,1.9905287,60.0,90.78,0.0,0.0,87.0,0.0,0.0,0.0,0.0,1033.4,2.9024127,97.125015,9.387651,122.47119,8.64,10.483357,74.054596
20211119T1000,4.2605286,60.0,215.37999,0.0,0.0,79.0,0.0,0.0,0.0,0.0,1034.2,6.162207,96.70984,6.519877,96.34019,11.879999,11.177405,75.06858
20211119T1100,6.4705286,60.0,309.72,0.0,0.0,73.0,0.0,0.0,0.0,0.0,1033.4,6.162207,83.29016,6.12,89.99999,11.159999,10.931203,72.75854
20211119T1200,8.450529,60.0,366.68,0.0,0.0,68.0,0.0,0.0,0.0,0.0,1031.8,5.815978,68.19859,6.0347,72.64597,7.2,10.538843,82.14668
